R 	china_future 	connected!
R 	china_future 	instrument:bb1508
R 	china_future 	instrument:TC507
R 	china_future 	instrument:LR501
R 	china_future 	instrument:LR505
R 	china_future 	instrument:l1508
R 	china_future 	instrument:pp1508
R 	china_future 	instrument:v1508
R 	china_future 	instrument:SF501
R 	china_future 	instrument:SF503
R 	china_future 	instrument:SF505
R 	china_future 	instrument:SF506
R 	china_future 	instrument:SF507
R 	china_future 	instrument:SF508
R 	china_future 	instrument:SM503
R 	china_future 	instrument:SM504
R 	china_future 	instrument:SM505
R 	china_future 	instrument:SM506
R 	china_future 	instrument:SM507
R 	china_future 	instrument:SPD TC410&TC412
R 	china_future 	instrument:SPD TC410&TC509
R 	china_future 	instrument:SPD TC410&TC506
R 	china_future 	instrument:SPD TC410&TC505
R 	china_future 	instrument:SPD TC410&TC502
R 	china_future 	instrument:SPD TC410&TC411
R 	china_future 	instrument:SPD TC410&TC501
R 	china_future 	instrument:SPD TC410&TC504
R 	china_future 	instrument:SPD TC410&TC508
R 	china_future 	instrument:SPD TC410&TC507
R 	china_future 	instrument:SPD TC410&TC503
R 	china_future 	instrument:SP pp1501&pp1501
R 	china_future 	instrument:SP pp1501&pp1505
R 	china_future 	instrument:SP pp1501&pp1509
R 	china_future 	instrument:SPC i1506&j1501
R 	china_future 	instrument:SPD TC506&TC509
R 	china_future 	instrument:SPD TC506&TC507
R 	china_future 	instrument:SPD TC506&TC508
R 	china_future 	instrument:SPD SR503&SR507
R 	china_future 	instrument:SPD SR503&SR505
R 	china_future 	instrument:SPD SR503&SR509
R 	china_future 	instrument:SPD SR503&SR511
R 	china_future 	instrument:SPD SR503&SR601
R 	china_future 	instrument:SPD SR503&SR603
R 	china_future 	instrument:SPD SF501&SF508
R 	china_future 	instrument:SPD SF501&SF502
R 	china_future 	instrument:SPD SF501&SF503
R 	china_future 	instrument:SPD SF501&SF504
R 	china_future 	instrument:SPD SF501&SF505
R 	china_future 	instrument:SPD SF501&SF506
R 	china_future 	instrument:SPD SF501&SF507
R 	china_future 	instrument:SPD SF501&SF509
R 	china_future 	instrument:SPD PM505&PM507
R 	china_future 	instrument:SPD PM505&PM509
R 	china_future 	instrument:SPD TA508&TA509
R 	china_future 	instrument:SPD SM504&SM508
R 	china_future 	instrument:SPD SM504&SM505
R 	china_future 	instrument:SPD SM504&SM506
R 	china_future 	instrument:SPD SM504&SM507
R 	china_future 	instrument:SPD SM504&SM509
R 	china_future 	instrument:SPD SF504&SF508
R 	china_future 	instrument:SPD SF504&SF505
R 	china_future 	instrument:SPD SF504&SF506
R 	china_future 	instrument:SPD SF504&SF507
R 	china_future 	instrument:SPD SF504&SF509
R 	china_future 	instrument:SP fb1501&fb1501
R 	china_future 	instrument:SPC fb1501&bb1501
R 	china_future 	instrument:SP fb1501&fb1505
R 	china_future 	instrument:SP fb1501&fb1509
R 	china_future 	instrument:SPD SF411&SF504
R 	china_future 	instrument:SPD SF411&SF505
R 	china_future 	instrument:SPD SF411&SF506
R 	china_future 	instrument:SPD SF411&SF507
R 	china_future 	instrument:SPD SF411&SF508
R 	china_future 	instrument:SPD SF411&SF412
R 	china_future 	instrument:SPD SF411&SF501
R 	china_future 	instrument:SPD SF411&SF502
R 	china_future 	instrument:SPD SF411&SF503
R 	china_future 	instrument:SPD SF411&SF509
R 	china_future 	instrument:SP jd1505&jd1505
R 	china_future 	instrument:SP jd1505&jd1509
R 	china_future 	instrument:SP j1505&j1505
R 	china_future 	instrument:SPC j1505&jm1501
R 	china_future 	instrument:SPC j1505&jm1505
R 	china_future 	instrument:SP j1505&j1509
R 	china_future 	instrument:SPD PM501&PM507
R 	china_future 	instrument:SPD PM501&PM503
R 	china_future 	instrument:SPD PM501&PM505
R 	china_future 	instrument:SPD PM501&PM509
R 	china_future 	instrument:SPD RM411&RM508
R 	china_future 	instrument:SPD RM411&RM507
R 	china_future 	instrument:SPD RM411&RM505
R 	china_future 	instrument:SPD RM411&RM501
R 	china_future 	instrument:SPD RM411&RM503
R 	china_future 	instrument:SPD RM411&RM509
R 	china_future 	instrument:SP v1501&v1505
R 	china_future 	instrument:SPC v1501&pp1501
R 	china_future 	instrument:SP v1501&v1509
R 	china_future 	instrument:SPC fb1505&bb1505
R 	china_future 	instrument:SP fb1505&fb1509
R 	china_future 	instrument:SPD TC507&TC509
R 	china_future 	instrument:SPD TC507&TC508
R 	china_future 	instrument:SPD SM411&SM412
R 	china_future 	instrument:SPD SM411&SM501
R 	china_future 	instrument:SPD SM411&SM502
R 	china_future 	instrument:SPD SM411&SM503
R 	china_future 	instrument:SPD SM411&SM504
R 	china_future 	instrument:SPD SM411&SM505
R 	china_future 	instrument:SPD SM411&SM506
